id;email;password;surname;name;place_id
1;petrov.ivan@company.com;12345;Петров;Иван;1
2;komandrov.sergej@company.com;12345;Командров;Сергей;1
3;sapogov.artem@company.com;12345;Сапогов;Артем;1
4;barista.@company.com;12345;Бариста;;2
5;oborudovanie.@company.com;12345;Оборудование;;3
6;vasjakin.dmitrij@company.com;12345;Васякин;Дмитрий;4
7;rybakov.artur@company.com;12345;Рыбаков;Артур;5
8;semenov.evgenij@company.com;12345;Семенов;Евгений;6
9;lobanov.georgij@company.com;12345;Лобанов;Георгий;7
10;demina.svetlana@company.com;12345;Демина;Светлана;8
11;koshkina.irina@company.com;12345;Кошкина;Ирина;9
12;baranov.konstantin@company.com;12345;Баранов;Константин;10
13;elagina.kristina@company.com;12345;Елагина;Кристина;11
14;voronov.egor@company.com;12345;Воронов;Егор;12
15;sikuvajlov.denis@company.com;12345;Сикувайлов;Денис;13
16;zaplatov.maksim@company.com;12345;Заплатов;Максим;14
17;tsyplok.viktor@company.com;12345;Цыплок;Виктор;15
18;prokofeva.marija@company.com;12345;Прокофьева;Мария;16
19;bolnskij.vladislav@company.com;12345;Болнский;Владислав;17
20;dremova.sonja@company.com;12345;Дремова;Соня;18
21;kripchuk.roman@company.com;12345;Крипчук;Роман;19
22;simagina.darja@company.com;12345;Симагина;Дарья;20
23;brjuhov.georgij@company.com;12345;Брюхов;Георгий;21
24;petrov.vasilij@company.com;12345;Петров;Василий;22
25;domov.fedor@company.com;12345;Домов;Федор;23
26;solntsev.aleksej@company.com;12345;Солнцев;Алексей;24
27;shipulina.elizaveta@company.com;12345;Шипулина;Елизавета;25
28;lipchuk.diana@company.com;12345;Липчук;Диана;26
29;krjagin.dmitrij@company.com;12345;Крягин;Дмитрий;27
30;schukina.polina@company.com;12345;Щукина;Полина;28
31;shlon.tamara@company.com;12345;Шлон;Тамара;29
32;ugarenko.maksim@company.com;12345;Угаренко;Максим;30
33;zametov.daniil@company.com;12345;Заметов;Даниил;31
34;zubilo.jana@company.com;12345;Зубило;Яна;20
35;vasileva.arina@company.com;12345;Васильева;Арина;32
36;petrova.marina@company.com;12345;Петрова;Марина;33
37;anisimova.eva@company.com;12345;Анисимова;Ева;34
38;nikolskaja.elena@company.com;12345;Никольская;Елена;35
39;dubko.marija@company.com;12345;Дубко;Мария;36
40;zhelchenko.anatolij@company.com;12345;Желченко;Анатолий;37
41;rukov.leonid@company.com;12345;Руков;Леонид;37
42;uvlechenko.pavel@company.com;12345;Увлеченко;Павел;37
43;babin.roman@company.com;12345;Бабин;Роман;38
44;vasjakin.demid@company.com;12345;Васякин;Демид;38
45;tsalpanova.uljana@company.com;12345;Цалпанова;Ульяна;38
46;orehov.dmitrij@company.com;12345;Орехов;Дмитрий;38
47;shemjakin.oleg@company.com;12345;Шемякин;Олег;38
48;varnava.elena@company.com;12345;Варнава;Елена;38
49;dubrovskij.aleksandr@company.com;12345;Дубровский;Александр;39
50;sinitsin.david@company.com;12345;Синицин;Давид;40
51;manuntsev.daniil@company.com;12345;Манунцев;Даниил;41
52;semenova.jana@company.com;12345;Семенова;Яна;42
53;levchenko.anna@company.com;12345;Левченко;Анна;43
54;kukushkin.denis@company.com;12345;Кукушкин;Денис;44
55;kurochkin.mstislav@company.com;12345;Курочкин;Мстислав;45
56;zheludev.platon@company.com;12345;Желудев;Платон;45
57;kuchin.gavriil@company.com;12345;Кучин;Гавриил;45
58;tebel.vladimir@company.com;12345;Тебель;Владимир;45
59;chumakov.mark@company.com;12345;Чумаков;Марк;45
60;zemskova.anna@company.com;12345;Земскова;Анна;45
61;lovikov.mihail@company.com;12345;Ловиков;Михаил;46
62;ukranov.valentin@company.com;12345;Укранов;Валентин;47
63;drebolskij.svjatoslav@company.com;12345;Дребольский;Святослав;48
64;vylchu.alina@company.com;12345;Вылчу;Алина;49
65;sibirskij.pavel@company.com;12345;Сибирский;Павел;50
66;grinev.konstantin@company.com;12345;Гринев;Константин;51
67;anisimov.boris@company.com;12345;Анисимов;Борис;52
68;lunev.sergej@company.com;12345;Лунев;Сергей;53
69;zhuvev.leonid@company.com;12345;Жувев;Леонид;54
70;sokolov.daniil@company.com;12345;Соколов;Даниил;55
71;varin.aleksandr@company.com;12345;Варин;Александр;56
72;fekrov.matvej@company.com;12345;Фекров;Матвей;57
73;jubasov.jurij@company.com;12345;Юбасов;Юрий;58
74;gogol.jan@company.com;12345;Гоголь;Ян;59
75;mavris.roman@company.com;12345;Маврис;Роман;60
76;kandrov.oleg@company.com;12345;Кандров;Олег;61
77;trjashkina.anastastija@company.com;12345;Тряшкина;Анастастия;62
78;berezova.zhanna@company.com;12345;Березова;Жанна;63
79;platova.natela@company.com;12345;Платова;Натела;64
80;beljaev.nikita@company.com;12345;Беляев;Никита;65
81;pavlichenko.kirill@company.com;12345;Павличенко;Кирилл;66
82;kavrov.lev@company.com;12345;Кавров;Лев;67
83;debrina.karina@company.com;12345;Дебрина;Карина;68
84;pushin.viktor@company.com;12345;Пушин;Виктор;69
85;lobova.galina@company.com;12345;Лобова;Галина;70
86;zjunchen.ilja@company.com;12345;Зюнчен;Илья;71
87;zagreb.dmitrij@company.com;12345;Загреб;Дмитрий;72
88;jurchenko.aleksandr@company.com;12345;Юрченко;Александр;73
89;chubarev.evgenij@company.com;12345;Чубарев;Евгений;74
90;timoshenko.varja@company.com;12345;Тимошенко;Варя;75
91;bober.vasilij@company.com;12345;Бобер;Василий;76
92;shevchenko.anika@company.com;12345;Шевченко;Аника;77
93;alekseev.timur@company.com;12345;Алексеев;Тимур;78
94;dubchenko.andrej@company.com;12345;Дубченко;Андрей;79
95;erohov.artem@company.com;12345;Ерохов;Артем;80
96;afonin.nikolaj@company.com;12345;Афонин;Николай;81
97;danilov.igor@company.com;12345;Данилов;Игорь;82
98;evstigneev.maksim@company.com;12345;Евстигнеев;Максим;83
99;eliseev.vasilij@company.com;12345;Елисеев;Василий;84
100;gnidov.mihail@company.com;12345;Гнидов;Михаил;85
101;korchagin.viktor@company.com;12345;Корчагин;Виктор;86
102;zjubina.julija@company.com;12345;Зюбина;Юлия;87
103;koftun.ilja@company.com;12345;Кофтун;Илья;88
104;borisenko.sergej@company.com;12345;Борисенко;Сергей;89
105;mihajlov.jurij@company.com;12345;Михайлов;Юрий;90
106;novikov.nikolaj@company.com;12345;Новиков;Николай;91
107;papyrin.nikita@company.com;12345;Папырин;Никита;92
108;chevnush.georgij@company.com;12345;Чевнуш;Георгий;93
109;ponomarev.aleksandr@company.com;12345;Пономарев;Александр;94
110;ruzin.sergej@company.com;12345;Рузин;Сергей;95
111;samsonova.darja@company.com;12345;Самсонова;Дарья;96
112;sitnikov.anatolij@company.com;12345;Ситников;Анатолий;97
113;fadeev.oleg@company.com;12345;Фадеев;Олег;98
114;hagenko.olga@company.com;12345;Хагенко;Ольга;99
115;juferova.tatjana@company.com;12345;Юферова;Татьяна;100
116;shilov.vladimir@company.com;12345;Шилов;Владимир;101
117;berezkin.aleksej@company.com;12345;Березкин;Алексей;102
118;burlak.maksim@company.com;12345;Бурлак;Максим;103
119;gorodilov.anatolij@company.com;12345;Городилов;Анатолий;104
120;kazadaev.eduard@company.com;12345;Казадаев;Эдуард;105
121;djumchenko.vitalina@company.com;12345;Дюмченко;Виталина;106
122;kovinskij.deni@company.com;12345;Ковинский;Дени;107
123;nikolajchuk.stepan@company.com;12345;Николайчук;Степан;108
124;vislin.boris@company.com;12345;Вислин;Борис;109
125;sjasin.viktor@company.com;12345;Сясин;Виктор;110
